,전체,강,강,강,강,약,약,약,약
세부 시나리오,전체,전체,강강,강약,약강,전체,강약,약강,약약
N,1000,627,518,47,62,373,64,45,264
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.1234356864567172,1.268029883498109,1.306328549902193,0.9062948297757014,1.2222692113632208,0.8803778807061707,0.8568863336493988,1.113963731284561,0.8462570312198301
H_DCA1,1.0419511838067477,1.1240052106231482,1.1462597423539032,1.0142004982177781,1.021311243631558,0.9040212245201974,0.9560458741719624,0.972720503493078,0.8796990838706046
H_DCA1*,1.0064430300000011,1.0420593939393952,1.0507761389961399,1.1384865957446813,0.89613435483871,0.9465731635388738,1.0762251562500003,0.8893546666666664,0.9248955303030301
DCA1 > LS,0.383,0.046251993620414676,0.0019305019305019305,0.2765957446808511,0.24193548387096775,0.9490616621983914,0.84375,0.8444444444444444,0.9924242424242424
DCA1 > BH,0.4,0.31100478468899523,0.26640926640926643,0.10638297872340426,0.8387096774193549,0.5495978552278821,0.140625,0.7777777777777778,0.6098484848484849
DCA1* > LS,0.513,0.39712918660287083,0.3532818532818533,0.14893617021276595,0.9516129032258065,0.707774798927614,0.328125,0.8444444444444444,0.7765151515151515
DCA1* > BH,0.547,0.6140350877192983,0.6158301158301158,0.10638297872340426,0.9838709677419355,0.4343163538873995,0.109375,0.7555555555555555,0.4583333333333333
H_DCA1 < P_T,0.632,0.7910685805422647,0.8243243243243243,0.1702127659574468,0.9838709677419355,0.3646112600536193,0.109375,0.7777777777777778,0.3560606060606061
H_DCA1* < P_T,0.632,0.7910685805422647,0.8243243243243243,0.1702127659574468,0.9838709677419355,0.3646112600536193,0.109375,0.7777777777777778,0.3560606060606061
LS 수익률(%),12.343556999999999,26.80297607655502,30.632847490347483,-9.370531914893617,22.22687096774193,-11.962222520107245,-14.311406250000001,11.396355555555555,-15.374299242424248
BH 수익률(%),7.671779000000006,14.901489633173858,16.816432432432457,-3.1853191489361703,12.61341935483871,-4.48111260053619,-5.655703124999998,7.19817777777778,-6.187151515151511
DCA1 수익률(%),6.5272390000000025,12.132511961722487,13.306077220077222,-10.636808510638296,19.588177419354835,-2.8950294906166225,-10.572593750000001,14.678844444444444,-4.029348484848485
DCA1* 수익률(%),13.810694999999994,24.5458548644338,26.711644787644783,-18.41717021276596,39.01977419354839,-4.2347345844504,-18.090171875000003,29.41686666666667,-6.6119090909090925
LS 표준편차(%),31.056700802781755,28.60905663231139,28.47267676771986,10.336412088490365,17.143215233451826,16.374267613477286,13.084477776720172,15.955535491648423,13.756752796196668
BH 표준편차(%),15.52835427122049,14.304530153138515,14.236337057222192,5.168249464409055,8.57153067331347,8.18714374769074,6.542255049498491,7.977717614162158,6.878398708321876
DCA1 표준편차(%),18.13727892719197,17.929526432677925,17.206281039567905,10.070259423363384,15.674173515507473,14.159101945190214,11.747060592441839,16.974155350461952,11.568552565297153
DCA1* 표준편차(%),35.82017690212143,36.5441042384066,35.580591790575724,16.847339306535265,32.95948240253869,26.03121697316698,19.80974128542286,34.14751083474594,20.57256368768169
LS 왜도,1.0705863485041383,1.377164544084113,1.5168336226625934,-1.5100931950242213,1.108932852085492,0.22043134073676998,-0.5822491967188519,0.7858137300468867,-0.674295125345913
LS 첨도,2.1648328948132973,2.695321854878824,2.6657671060350494,3.029848235572832,1.1967301145399918,1.7303368069267613,-0.5350275885953932,1.9518482575716853,0.7007347668288713
