,전체,강,강,강,강,약,약,약,약
세부 시나리오,전체,전체,강강,강약,약강,전체,강약,약강,약약
N,1000,680,552,37,91,320,46,54,220
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.443250112999886,1.7109045575007489,1.8068114048046704,0.9547331454429347,1.4365942556806834,0.8744844184355575,0.8458536919987805,1.2562058104450784,0.7867755922881833
H_DCA1,1.1373418142809981,1.2780504200118565,1.3302737845267714,1.006377281705991,1.0717274409468505,0.8383360271029232,0.9239658083804028,0.9604630792385818,0.7904549782206977
H_DCA1*,1.0130193500000009,1.0761792205882343,1.1037556702898548,1.193202972972973,0.8613212087912091,0.8788046249999997,1.0583760869565217,0.8151601851851851,0.8568796818181819
DCA1 > LS,0.343,0.054411764705882354,0.0018115942028985507,0.4594594594594595,0.2087912087912088,0.95625,0.9347826086956522,0.7962962962962963,1.0
DCA1 > BH,0.466,0.3602941176470588,0.28442028985507245,0.2972972972972973,0.8461538461538461,0.690625,0.34782608695652173,0.8888888888888888,0.7136363636363636
DCA1* > LS,0.533,0.4308823529411765,0.3695652173913043,0.2972972972972973,0.8571428571428571,0.75,0.4782608695652174,0.8888888888888888,0.7727272727272727
DCA1* > BH,0.66,0.7058823529411765,0.6920289855072463,0.32432432432432434,0.945054945054945,0.5625,0.30434782608695654,0.8888888888888888,0.5363636363636364
H_DCA1 < P_T,0.7,0.8147058823529412,0.8260869565217391,0.32432432432432434,0.945054945054945,0.45625,0.2391304347826087,0.8888888888888888,0.39545454545454545
H_DCA1* < P_T,0.7,0.8147058823529412,0.8260869565217391,0.32432432432432434,0.945054945054945,0.45625,0.2391304347826087,0.8888888888888888,0.39545454545454545
LS 수익률(%),10.08105400000001,17.52409705882355,19.747550724637705,-2.5515405405405414,12.19939560439561,-5.7354125,-6.023804347826085,7.07051851851852,-8.81838636363636
BH 수익률(%),6.0912749999999924,10.019755882352925,11.288099637681146,-0.8298648648648648,6.73745054945055,-2.256746875,-2.5898913043478267,4.001388888888887,-3.7231772727272743
DCA1 수익률(%),5.739726000000002,8.389875,8.928349637681151,-2.760378378378378,9.657142857142858,0.1081593749999997,-3.5254347826086954,8.559925925925926,-1.2066136363636373
DCA1* 수익률(%),11.171578000000007,16.32840294117648,17.376268115942043,-5.36508108108108,18.79254945054945,0.21332500000000013,-6.858217391304348,16.65925925925926,-2.3448090909090906
LS 표준편차(%),17.947095210857704,15.463440375220138,15.476567488441452,10.15729192800969,8.464301221901993,11.432282985559453,7.595242243579024,9.467835774577399,10.335708378291823
BH 표준편차(%),9.94773784191896,9.16349462824527,9.323562676119854,4.908602545883446,4.745037345043851,5.3257830867817955,3.533068972678071,5.115236844759726,4.536278014926426
DCA1 표준편차(%),10.464915545779823,10.085896757337386,10.124867307550208,9.63772298589521,6.9415286862179935,8.924792783150146,6.179822959176361,9.29892230487734,8.070045369486262
DCA1* 표준편차(%),20.365009185537904,19.63004485576044,19.7076505948302,18.742276055571352,13.508961745007756,17.36245745396522,12.021716166843039,18.096412725079578,15.696738898142087
