,전체,강,강,강,강,약,약,약,약
세부 시나리오,전체,전체,강강,강약,약강,전체,강약,약강,약약
N,1000,672,541,31,100,328,48,49,231
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.3604949017668428,1.5938846322004203,1.6533148817646433,0.8892252990061263,1.4908113753482004,0.8823305760004962,0.8084704045755018,1.3072922183327278,0.8075347654122733
H_DCA1,1.1246047086869102,1.2584798777105453,1.304914484776833,1.022651412414177,1.0803754777238077,0.8503238745897054,0.9269600898814994,0.9678249330364238,0.8094749992741418
H_DCA1*,1.0277167200000015,1.0950303571428581,1.1321467467652502,1.2434970967741932,0.848206,0.8898058536585365,1.0993375,0.7774583673469389,0.8700980952380952
DCA1 > LS,0.328,0.03422619047619048,0.011090573012939002,0.22580645161290322,0.1,0.9298780487804879,0.8333333333333334,0.7142857142857143,0.9956709956709957
DCA1 > BH,0.456,0.35267857142857145,0.2587800369685767,0.1935483870967742,0.91,0.6676829268292683,0.2708333333333333,0.9183673469387755,0.696969696969697
DCA1* > LS,0.511,0.40773809523809523,0.32717190388170053,0.1935483870967742,0.91,0.7225609756097561,0.3333333333333333,0.9183673469387755,0.7619047619047619
DCA1* > BH,0.63,0.6607142857142857,0.6358595194085028,0.1935483870967742,0.94,0.5670731707317073,0.22916666666666666,0.9183673469387755,0.5627705627705628
H_DCA1 < P_T,0.683,0.7767857142857143,0.7763401109057301,0.1935483870967742,0.96,0.49085365853658536,0.20833333333333334,0.9183673469387755,0.4588744588744589
H_DCA1* < P_T,0.683,0.7767857142857143,0.7763401109057301,0.1935483870967742,0.96,0.49085365853658536,0.20833333333333334,0.9183673469387755,0.4588744588744589
LS 수익률(%),8.500613000000005,15.216916666666659,16.631561922365986,-4.335129032258064,13.624819999999998,-5.2596189024390245,-7.288770833333333,8.759448979591834,-7.811718614718612
BH 수익률(%),5.112561999999993,8.625849702380954,9.428682070240297,-1.8245806451612907,7.52216,-2.0853932926829266,-3.2113750000000003,4.844734693877551,-3.321450216450217
DCA1 수익률(%),4.631619000000002,6.86369940476191,6.827813308687618,-5.028483870967742,10.744419999999998,0.05857621951219511,-4.8879375,9.962918367346939,-1.0144978354978351
DCA1* 수익률(%),9.014246999999996,13.357370535714288,13.28751386321627,-9.782677419354837,20.90871000000001,0.1161402439024393,-9.509770833333334,19.388102040816324,-1.9716623376623372
LS 표준편차(%),15.860320709375177,13.491939058043197,13.650588540234065,6.978730270098974,8.332091854651113,10.599257624364727,6.560401889089206,7.977009942801313,9.40097326106508
