,전체,강,강,강,강,약,약,약,약
세부 시나리오,전체,전체,강강,강약,약강,전체,강약,약강,약약
N,1000,599,457,50,92,401,53,63,285
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.1089201919809901,1.2590702668976184,1.3011332784724647,0.9504674771561419,1.2178457364342419,0.8846311773299648,0.8470379577684979,1.1118051333857928,0.8414047962957224
H_DCA1,1.0341725057313351,1.1198938745246472,1.1475748658439684,1.0278986202942737,1.032388979726704,0.9061248750400791,0.9540942839093274,0.9767251822075039,0.8815978644379107
H_DCA1*,1.003345760000001,1.0400416193656095,1.0565886652078773,1.1174206,0.9157921739130436,0.9485307481296754,1.0786237735849056,0.8992993650793653,0.9352207368421055
DCA1 > LS,0.405,0.045075125208681135,0.0,0.16,0.20652173913043478,0.942643391521197,0.8867924528301887,0.8095238095238095,0.9824561403508771
DCA1 > BH,0.413,0.34056761268781305,0.26695842450765866,0.16,0.8043478260869565,0.5211970074812967,0.11320754716981132,0.746031746031746,0.5473684210526316
DCA1* > LS,0.508,0.4006677796327212,0.33260393873085337,0.16,0.8695652173913043,0.6683291770573566,0.24528301886792453,0.7777777777777778,0.7228070175438597
DCA1* > BH,0.555,0.6393989983305509,0.6301969365426696,0.18,0.9347826086956522,0.428927680798005,0.07547169811320754,0.7619047619047619,0.42105263157894735
H_DCA1 < P_T,0.604,0.7696160267111853,0.7943107221006565,0.18,0.967391304347826,0.3566084788029925,0.05660377358490566,0.7777777777777778,0.3192982456140351
H_DCA1* < P_T,0.604,0.7696160267111853,0.7943107221006565,0.18,0.967391304347826,0.3566084788029925,0.05660377358490566,0.7777777777777778,0.3192982456140351
LS 수익률(%),10.892021000000009,25.907036727879838,30.113334792122554,-4.953280000000001,21.78461956521739,-11.536892768079793,-15.296245283018866,11.180555555555557,-15.859536842105257
BH 수익률(%),6.946008000000013,14.453499165275476,16.556641137855586,-0.9766400000000001,12.392315217391305,-4.268423940149622,-6.148075471698111,7.090269841269841,-6.429743859649119
DCA1 수익률(%),5.995996999999993,11.846487479131877,12.756459518599547,-7.4176600000000015,17.79594565217391,-2.743264339152121,-11.39333962264151,13.939873015873017,-4.822505263157898
DCA1* 수익률(%),12.81356700000001,23.919784641068453,25.62210722100658,-12.748140000000001,35.39190217391307,-3.7765187032418948,-19.681981132075464,28.175682539682548,-7.881778947368425
LS 표준편차(%),30.054957327977448,27.182683733555713,27.635957250210737,10.469100458482375,18.443657063788784,17.590159617978813,11.400672953999859,17.997233645648357,14.332251613016492
BH 표준편차(%),15.027468952256967,13.591352481406286,13.817987102942167,5.23461104634629,9.221880393848492,8.795067073924194,5.700338255311146,8.998545936672123,7.1661354992785515
DCA1 표준편차(%),18.224589364111374,17.505498635314474,17.074801279924333,10.844614423024991,15.672974018335877,15.60624490836762,10.350224441905738,18.58954053510187,12.95897455668124
DCA1* 표준편차(%),35.99571363295157,35.674718528002494,35.09333184410533,19.206767858008504,33.2733408962328,29.541354568388954,17.271074170961917,38.06555597862863,23.824305343690806
LS 왜도,1.0572493750729095,1.4909188303735001,1.5598548163099963,0.2565631083816382,1.4565195875394683,0.7802409708921866,-0.7358138152610001,1.4000749768656096,0.007348942513164216
LS 첨도,2.4357982487728127,3.701792090600953,3.6929210135661785,0.8475382871619486,2.388900494475465,2.7320785566916155,0.8842266107441232,3.7451879428334607,0.5284013124447058
LS min,-59.027,-29.95,-19.792,-29.95,0.524,-59.027,-47.085,-28.935,-59.027
LS 1Q,-9.36,8.543,11.517,-11.523249999999999,8.88225,-22.405,-21.678,-0.4475,-24.307
LS median,7.616,19.198,23.499,-4.2155000000000005,16.83,-12.431,-13.26,6.731,-15.566
LS 3Q,26.24025,39.1535,43.175,-0.82175,30.791500000000003,-2.17,-8.778,19.559,-6.099
LS max,175.18,175.18,175.18,25.914,93.761,84.945,10.09,84.945,31.452
BH 왜도,1.0572465748797744,1.4909042311381533,1.5598397538379651,0.25658442648240154,1.4564894515316145,0.7802238430426491,-0.7358834412939518,1.4000833669641337,0.007349795549995505
BH 첨도,2.43576856714505,3.7017106389815058,3.6928414468852733,0.8474617967090214,2.388735597787693,2.7319999851969157,0.8844463243470027,3.7451039895227076,0.5283593151651722
BH min,-28.013,-13.475,-8.396,-13.475,1.762,-28.013,-22.043,-12.967,-28.013
BH 1Q,-3.1799999999999997,5.7715,7.258,-4.2620000000000005,5.94075,-9.703,-9.339,1.2765,-10.653
BH median,5.308,11.099,13.249,-0.6080000000000001,9.915,-4.716,-5.13,4.866,-6.283
BH 3Q,14.620249999999999,21.076500000000003,23.088,1.0892499999999998,16.89625,0.415,-2.889,11.279,-1.549
BH max,89.09,89.09,89.09,14.457,48.38,43.972,6.545,43.972,17.226
DCA1 왜도,0.9898996520662835,1.168694268395196,1.320229508913084,0.1883276759976954,1.8974029324173707,1.138875437389149,-0.7394682854167643,1.0051671757257665,0.7989791214780969
DCA1 첨도,2.511126159294751,3.145006119073519,3.305502402879145,0.3505364410287193,6.173310168391071,3.3813472855296545,0.836386659370723,1.736063026793075,2.9358022954058933
DCA1 min,-40.817,-32.104,-24.96,-32.104,-2.235,-40.817,-40.817,-26.254,-39.226
DCA1 1Q,-5.53875,1.284,2.036,-13.910750000000002,7.113499999999999,-12.288,-16.435,1.7865,-13.095
DCA1 median,4.1884999999999994,9.539,9.982,-7.246499999999999,13.234,-3.684,-9.713,10.907,-4.944
DCA1 3Q,14.748249999999999,19.596,20.008,-2.85675,24.982750000000003,4.701,-3.684,23.003500000000003,1.875
DCA1 max,100.188,100.188,100.188,20.578,97.46,80.174,13.019,80.174,61.658
