,전체,강,강,강,강,약,약,약,약
세부 시나리오,전체,전체,강강,강약,약강,전체,강약,약강,약약
N,457,299,232,25,42,158,23,27,108
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.1216987182227038,1.2400002361192173,1.2809203729590566,0.9341014260864691,1.196047819547214,0.8978243267603139,0.8670050859352504,1.1146295874305228,0.8501863684351366
H_DCA1,1.042723853248739,1.1164815595160036,1.1448138972842405,1.0172101078617397,1.0190692721142314,0.9031443964518259,0.9720442964536511,0.9579812108902345,0.8747620659899845
H_DCA1*,1.0080306564551431,1.049084448160536,1.066893275862069,1.1151551999999996,0.9113840476190476,0.930340253164557,1.0958839130434783,0.8634896296296297,0.9117982407407408
H_DCA2,1.0289459401172634,1.102018904623884,1.1300946070952396,1.003104486091745,1.0058117020036308,0.8906622920952401,0.9583850167468483,0.9453573826252573,0.8625660873610039
DCA1 > LS,0.3676148796498906,0.056856187290969896,0.004310344827586207,0.2,0.2619047619047619,0.9556962025316456,0.8260869565217391,0.8888888888888888,1.0
DCA1 > BH,0.4201312910284464,0.3177257525083612,0.25,0.2,0.7619047619047619,0.6139240506329114,0.043478260869565216,0.7407407407407407,0.7037037037037037
DCA2 > LS,0.4048140043763676,0.10367892976588629,0.021551724137931036,0.28,0.4523809523809524,0.9746835443037974,0.9130434782608695,0.9259259259259259,1.0
DCA2 > BH,0.487964989059081,0.4013377926421405,0.33620689655172414,0.2,0.8809523809523809,0.6518987341772152,0.08695652173913043,0.8148148148148148,0.7314814814814815
DCA1* > LS,0.5054704595185996,0.3979933110367893,0.33189655172413796,0.2,0.8809523809523809,0.7088607594936709,0.13043478260869565,0.8148148148148148,0.8055555555555556
DCA1* > BH,0.5492341356673961,0.6053511705685619,0.6077586206896551,0.16,0.8571428571428571,0.4430379746835443,0.0,0.7407407407407407,0.46296296296296297
H_DCA1 < P_T,0.6148796498905909,0.7391304347826086,0.7672413793103449,0.2,0.9047619047619048,0.379746835443038,0.0,0.7407407407407407,0.37037037037037035
H_DCA1* < P_T,0.6148796498905909,0.7391304347826086,0.7672413793103449,0.2,0.9047619047619048,0.379746835443038,0.0,0.7407407407407407,0.37037037037037035
H_DCA2 < P_T,0.6717724288840262,0.782608695652174,0.8146551724137931,0.2,0.9523809523809523,0.4620253164556962,0.08695652173913043,0.8888888888888888,0.4351851851851852
LS 수익률(%),12.169864332603945,24.00002341137125,28.09203879310346,-6.589839999999999,19.60476190476191,-10.217588607594942,-13.299434782608698,11.462925925925925,-14.981398148148159
BH 수익률(%),7.584921225382927,13.500016722408025,15.546004310344829,-1.7949199999999998,11.3025,-3.6088354430379734,-5.149782608695653,7.231481481481482,-5.990750000000001
DCA1 수익률(%),6.5666717724288866,10.487929765886284,11.28176724137931,-8.04932,17.137,-0.8539367088607595,-10.998695652173913,16.845888888888886,-3.118435185185184
