,전체 시나리오,메인 시나리오,세부 시나리오,LS 수익률(%),BH 수익률(%),DCA1 수익률(%),DCA1* 수익률(%),P_0,P_T,H_DCA1,H_DCA1*
0,상하하상상상상상상상상상,강,강강,49.688,26.344,40.976,83.314,1,1.4968788744405952,1.061800155410322,0.81657
1,상상상하하하하하하하하하,약,약약,0.772,1.886,8.585,16.221,1,1.0077215498087646,0.9280492915072748,0.86707
2,상상하상하하하하하하상상,약,약약,3.744,3.372,6.409,12.041,1,1.037443226621491,0.9749582346117439,0.92595
3,상상상상상상상상상상상상,강,강강,29.68,16.34,1.498,2.776,1,1.2967973340625942,1.277663157093886,1.26177
4,상하하하상상상상상상상상,강,강강,12.955,7.977,5.446,10.205,1,1.1295491512746103,1.0712138785545204,1.02495
5,상하하하상하하하상상상상,강,약강,35.732,19.366,32.788,65.561,1,1.3573200300295736,1.0221669159679867,0.81983
6,상상상상상상상상상상상상,강,강강,15.099,9.049,-3.562,-6.51,1,1.150987427609127,1.1935042253820236,1.23113
7,상상하하하하하상하하하상,약,약약,6.768,4.884,9.762,18.502,1,1.067676216080386,0.9727173588913545,0.90098
8,상하하하하상상상상하하하,약,약약,-1.051,0.974,1.749,3.245,1,0.9894860057462557,0.9724763410256805,0.95839
9,상상상상상상상상상상상상,강,강강,77.778,40.389,37.798,76.365,1,1.7777771759030512,1.2901346581027064,1.00801
10,상상상상상상상상상상상상,강,강강,49.962,26.481,18.898,36.633,1,1.499615626275423,1.2612621921060407,1.09755
11,상상하상상상상상상상상상,강,강강,15.883,9.442,-0.236,-0.436,1,1.158832937705688,1.1615759994283381,1.1639
12,상상상상상상상상상상상상,강,강강,73.953,38.477,31.187,62.148,1,1.7395313487412245,1.3259911681518017,1.07281
13,상하상상상상상상상상상상,강,강강,75.05,39.025,33.669,67.446,1,1.7505001676420018,1.3095789156009336,1.04541
14,상상상상하하하하하하하하,약,강약,-17.441,-7.221,-7.57,-13.668,1,0.8255882986488967,0.8931993188200896,0.95629
15,상하하하상상상상상상상상,강,강강,1.342,2.171,-1.706,-3.135,1,1.013420805526379,1.031012630367462,1.04622
