,전체,강,강,강,강,약,약,약,약
세부 시나리오,전체,전체,강강,강약,약강,전체,강약,약강,약약
N,10000,6285,5085,499,701,3715,662,333,2720
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.1192317788790616,1.258222635160057,1.294892961264459,0.9432195492758628,1.2164507829707858,0.8840884325194238,0.8626560328938544,1.1220465477218002,0.8601723281774108
H_DCA1,1.03979309932854,1.1242361594677457,1.1489783628164598,1.0124183467355499,1.0243545396748084,0.8969331712060747,0.9455631176154589,0.9719720549728936,0.8759107547291036
H_DCA1*,1.0037449239999967,1.0479960731901363,1.0630741101278263,1.0970804008016035,0.9036809557774611,0.9288812705249005,1.0409470090634438,0.8789075675675679,0.9077245514705914
DCA1 > LS,0.4036,0.06587112171837708,0.012192723697148475,0.35070140280561124,0.2524964336661912,0.9749663526244953,0.9395770392749244,0.8678678678678678,0.9966911764705882
DCA1 > BH,0.4283,0.33046937151949085,0.27256637168141595,0.19238476953907815,0.8487874465049928,0.5938088829071333,0.23564954682779457,0.8378378378378378,0.6511029411764706
DCA1* > LS,0.518,0.3850437549721559,0.327826941986234,0.2565130260521042,0.891583452211127,0.7429340511440108,0.3867069486404834,0.8798798798798799,0.8128676470588235
DCA1* > BH,0.5694,0.6154335719968178,0.6108161258603736,0.2605210420841683,0.9015691868758916,0.4915208613728129,0.2039274924471299,0.8438438438438438,0.5183823529411765
H_DCA1 < P_T,0.6257,0.7460620525059666,0.7644051130776794,0.30060120240480964,0.9300998573466477,0.4220726783310902,0.18580060422960726,0.8588588588588588,0.4261029411764706
H_DCA1* < P_T,0.6257,0.7460620525059666,0.7644051130776794,0.30060120240480964,0.9300998573466477,0.4220726783310902,0.18580060422960726,0.8588588588588588,0.4261029411764706
LS 수익률(%),11.923176300000025,25.822261416069953,29.489292428711853,-5.67804408817635,21.645085592011398,-11.591157469717338,-13.734403323262836,12.204651651651655,-13.982766176470573
BH 수익률(%),7.461590900000018,14.411135401750181,16.244651327433633,-1.3390200400801617,12.322546362339496,-4.295579273216699,-5.367203927492442,7.6023273273273295,-5.491383455882353
DCA1 수익률(%),6.492493000000007,11.391234208432776,12.184536479842638,-6.795388777555113,18.582650499286743,-1.7951485868102361,-8.922637462235652,15.483990990990977,-2.175867647058831
DCA1* 수익률(%),13.614480499999932,22.964343038981625,24.429569518190718,-11.496486973947897,36.866308131241105,-2.203523822341865,-15.382503021148038,30.751426426426413,-3.0305511029411827
LS 표준편차(%),29.083955124490625,25.754837935383982,25.552542989783223,12.000100184574265,16.956930333173275,16.583454657072767,11.768158463187607,14.613891990404326,15.482772310507235
BH 표준편차(%),14.541977817319818,12.877416884445955,12.776269973033594,6.000041201297561,8.478453395329597,8.291726586319903,5.884062179817641,7.3069328902772925,7.741389314709827
DCA1 표준편차(%),17.146150640354584,16.72933039332934,16.228268831080914,11.940391392394492,14.35768095517281,14.444614298059442,10.702332236034135,14.89574427509263,13.45296065893124
DCA1* 표준편차(%),33.2040575785759,33.09733387901775,32.32209590173348,21.159571551197622,29.529836893832467,26.768750068726757,18.689825177706002,29.871138142663654,24.676696291377695
LS 왜도,0.6752644212655958,0.8493326366839993,0.8988523220362431,-0.13149763148105262,0.9484752053289095,0.2716320495181375,-0.20777496362565076,0.4804035972114507,0.008635702576136496
LS 첨도,0.7794225244053568,1.2864370432740424,1.2823454158568715,0.043011967903369364,1.3753740113419672,0.4215718787998277,0.18182373897240645,0.16038252274600184,-0.10501503490925757
LS min,-61.316,-37.871,-32.96,-37.871,-20.266,-61.316,-48.8,-25.563000000000002,-61.316
LS 1Q,-8.6175,7.523,11.015999999999998,-13.653500000000001,8.963,-22.7925,-20.329,1.6469999999999998,-24.89125
LS median,8.38,22.451,25.849,-4.927,18.619,-11.627,-12.8535,11.249,-13.696000000000002
LS 3Q,29.31425,39.799,43.516000000000005,2.7925,30.881,-1.2835,-6.02875,20.612,-3.19225
LS max,186.743,186.743,186.743,39.341,106.16,58.701,25.866999999999997,58.701,57.357
BH 왜도,0.6752641835371065,0.8493335473214592,0.8988531073573198,-0.13150781927462474,0.9484809334684786,0.2716284616018993,-0.20777508919081505,0.4803782578105161,0.008633774469734956
BH 첨도,0.7794247239955925,1.2864433709484997,1.2823515606458753,0.043042326843862444,1.3753953011828965,0.4215508140295583,0.18182620905766544,0.16035742252335128,-0.10503159426001396
BH min,-29.158,-17.435,-14.98,-17.435,-8.633,-29.158,-22.9,-11.282,-29.158
BH 1Q,-2.80825,5.2620000000000005,7.007999999999999,-5.327,5.982,-9.8965,-8.6645,2.324,-10.946
BH median,5.6899999999999995,12.725,14.425,-0.9640000000000001,10.81,-4.313,-4.927,7.124,-5.348000000000001
BH 3Q,16.157500000000002,21.4,23.258000000000003,2.896,16.94,0.8585,-1.5140000000000002,11.806,-0.0965
BH max,94.87100000000001,94.87100000000001,94.87100000000001,21.171,54.58,30.85,14.434000000000001,30.85,30.178
DCA1 왜도,0.43662810065220475,0.39444964323404647,0.48146698779980746,0.08912449469855421,0.6688817380691989,0.46457399678591116,0.06537606669345082,0.2566575407569078,0.26436049891019586
DCA1 첨도,0.29429794709365353,0.33231680255081564,0.3764189243710079,-0.010802477167606295,0.5413046187991348,0.4540606353679011,0.5169994615435907,-0.11511293774635822,0.1343565270423328
DCA1 min,-41.278999999999996,-40.348,-34.15,-40.348,-16.308,-41.278999999999996,-41.278999999999996,-25.04,-39.87
DCA1 1Q,-5.50225,-0.183,0.645,-15.077,8.213,-11.5685,-15.805500000000002,4.659,-11.454749999999999
DCA1 median,5.159,10.17,10.802999999999999,-7.165,16.737000000000002,-2.843,-8.326500000000001,14.651,-2.6345
DCA1 3Q,17.0915,21.755,22.074,2.0324999999999998,27.075,6.7909999999999995,-2.2714999999999996,24.91,6.41425
DCA1 max,85.625,85.625,85.625,36.349000000000004,79.941,65.81,36.848,65.81,58.338
DCA1* 왜도,0.6990965442800844,0.642895900058208,0.7136075760410477,0.3122651364368213,0.8494008258752871,0.7330249952561895,0.3289900977584067,0.4337326032718531,0.5023685737268034
DCA1* 첨도,0.7556471271161977,0.7229395211669214,0.8198160108169446,0.17689465743302835,0.9710094874636406,0.9431214521766629,0.90752287507744,0.04289953712936878,0.4268468418784228
DCA1* min,-65.678,-64.47399999999999,-56.076,-64.47399999999999,-28.634,-65.678,-65.678,-42.626999999999995,-63.849
DCA1* 1Q,-9.99775,-0.33799999999999997,1.193,-26.581000000000003,15.503,-20.630000000000003,-27.798499999999997,8.713,-20.433500000000002
DCA1* median,9.661,19.295,20.529,-12.953,32.275999999999996,-5.205,-14.999500000000001,28.11,-4.827
DCA1* 3Q,32.989,42.453,43.108000000000004,3.773,53.474,12.771999999999998,-4.167,48.961000000000006,12.05125
DCA1* max,187.87,187.87,187.87,73.22,173.91,139.98,74.301,139.98,122.51299999999999
