,전체 시나리오,메인 시나리오,세부 시나리오,LS 수익률(%),BH 수익률(%),DCA1 수익률(%),DCA1* 수익률(%),P_0,P_T,H_DCA1,H_DCA1*
4224,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,12.554,6.811,0.225,0.432,1,1.2668323059325177,1.2611502460468804,1.25595
4225,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,37.526,20.545,12.831,25.083,1,1.8913327431420919,1.4856197655111265,1.20885
4226,상하하상하상상상상상상상하상상상하상하하하하하하,강,강약,-7.265,-3.179,-6.754,-12.827,1,0.8599787595659172,0.9890732609698798,1.13168
4227,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,33.682,18.363,14.296,27.997,1,1.7870886383100042,1.3680051160317857,1.09081
4228,상상상하하하상상상상상상상상상상상상상상상상상상,강,강강,19.17,10.341,4.655,8.999,1,1.420158168044788,1.2966418977723493,1.19535
4229,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-11.614,-5.235,-1.822,-3.489,1,0.7812052766478562,0.8104717492083312,0.8387
4230,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,46.875,25.939,30.815,61.497,1,2.157214063982095,1.2606110633689862,0.82711
4231,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,3.034,1.894,8.973,17.452,1,1.0615908994502896,0.893960901254338,0.76955
4232,상상상하상상상상하하하하하하하하하하하하하하하하,약,강약,-6.702,-2.909,-1.498,-2.869,1,0.8704592031698283,0.8971324074845048,0.92264
4233,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,43.105,23.749,18.938,37.299,1,2.047895897773023,1.4476673702790006,1.08636
4234,상상상하하하하하상하하하하하하하상상상상상상상상,강,약강,22.821,12.325,23.212,45.943,1,1.5085107361484145,0.9936778688446204,0.70824
4235,상상하하하하하하하하하하하하하하하하하하하하상상,약,약약,9.535,5.23,16.279,31.96,1,1.1997808218330492,0.8873581954885859,0.689
4236,상하하하상상상상하상상상상상상상상상상상상상상상,강,강강,6.225,3.52,-0.337,-0.646,1,1.1283694187983289,1.1360058870388974,1.14309
4237,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-13.402,-6.064,-4.857,-9.254,1,0.7499149229328542,0.82844231402955,0.91067
4238,상하상상상상상상상상상상상상상상상상상상상상상상,강,강강,32.64,17.776,20.263,39.971,1,1.759344887498924,1.216433069107377,0.898
4239,상상하하하하하하하하하하하하하하하하하하하하하하,약,약약,-22.029,-9.921,-13.751,-25.784,1,0.6079420041341862,0.817254457574329,1.10376
4240,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,26.048,14.099,16.093,31.587,1,1.588814424946773,1.1788562935596882,0.91758
4241,상하하상상상상상상상상상상상상상상상상상상상상상,강,강강,34.148,18.627,13.885,27.178,1,1.7995691200511978,1.3875171202212526,1.11262
4242,상상하하상상상상상상상하하하하상상상상상상상상상,강,강강,20.21,10.904,16.408,32.219,1,1.4450518566341706,1.0663886947920003,0.82661
4243,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-26.139,-11.67,-14.934,-27.937,1,0.5455408572566762,0.7538993938773598,1.05051
4244,상하상상상상상상상상상상상상상상상상상상상상상상,강,강강,4.307,2.54,-1.301,-2.493,1,1.0880003734443313,1.1168776165117822,1.14435
4245,상상상상상상상상상상상하하하하하하하하하하하하하,약,강약,-6.387,-2.758,-5.519,-10.502,1,0.8763309498663647,0.9816932657065051,1.09407
4246,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,8.601,4.745,-1.058,-2.028,1,1.1794154931649614,1.2047706443571096,1.22874
4247,상상상상상상상하하하하하하상하상상상상상상상상상,강,강강,4.54,2.658,1.062,2.042,1,1.092857105252162,1.0700159212218074,1.04956
4248,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,19.849,10.708,11.443,22.329,1,1.436380092471611,1.1565475368211005,0.95987
4249,상상상상상상상상상상상상상상상상하하하하하하하상,강,강약,4.709,2.745,1.939,3.733,1,1.0964053965586653,1.0550968174717859,1.01891
4250,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,31.496,17.133,12.229,23.887,1,1.7291184695923607,1.3728113475784838,1.1266
4251,상상상하상상상상상상상상상상상상상상상상상상상상,강,강강,14.138,7.649,8.717,16.947,1,1.302752460158615,1.1022259607533689,0.95254
4252,상하상상하하하하하하하하하하하하하하하하하하하하,약,약약,-22.046,-9.929,-12.348,-23.215,1,0.6076847590939509,0.7909549541274331,1.03068
4253,상상상하하하하하하하하하하하하하하하하하하하하하,약,약약,-7.682,-3.378,4.188,8.091,1,0.8522540384246928,0.785117616893845,0.72944
4254,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,15.729,8.495,-2.667,-5.1,1,1.339328937098,1.4137422003059013,1.48715
4255,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-3.245,-1.232,4.819,9.319,1,0.9361440562985583,0.8520446570153151,0.78335
4256,상상하하하하상상상하상하하상상상상상상상상상상상,강,약강,27.643,14.982,19.761,38.957,1,1.6292716403808476,1.1359657057240744,0.84378
4257,상상상하상상상상상상상상상상상상상상상상상상상상,강,강강,18.916,10.204,11.154,21.755,1,1.414099887528037,1.1445467713159017,0.9539
4258,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-25.085,-11.228,-11.724,-22.068,1,0.5612200762307258,0.7201875169683473,0.92406
4259,상상상상상상상하하하하하하하하하하하하상상상상상,강,강약,9.74,5.337,10.34,20.148,1,1.2042924745980175,0.989150778892058,0.83426
4260,상상상상상상상하하하하하하하상상상상상상상상상상,강,강강,13.006,7.05,7.071,13.716,1,1.277036046148725,1.1139414225231377,0.98755
4261,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,24.746,13.381,9.61,18.706,1,1.5561617146119375,1.2952636181177846,1.10437
4262,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,56.673,31.71,23.05,45.614,1,2.454641490380331,1.6211672972574949,1.15766
4263,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,31.574,17.177,14.533,28.47,1,1.7311835278297272,1.3197181681415824,1.04891
4264,상상하하하하하하하하하하하하하하하하하하하하하하,약,약약,-26.371,-11.767,-10.989,-20.714,1,0.5421234421669672,0.6842488220067178,0.86238
4265,상상상하하하하하하하하하하하하하하하하하하하하하,약,약약,-19.339,-8.744,-6.657,-12.645,1,0.6506272004320844,0.746743014024902,0.85262
4266,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,27.132,14.698,3.362,6.488,1,1.6162552775994592,1.5128129716634175,1.4253
4267,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-14.726,-6.671,0.542,1.042,1,0.7271682510378389,0.7193458148920224,0.71225
4268,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,47.327,26.203,21.136,41.737,1,2.1705266165863124,1.479162198801979,1.08044
4269,상상상하하하하하하하하하상하상상상상상상상상상하,강,약강,-1.105,-0.178,-1.846,-3.535,1,0.9780131010558805,1.0151514876770136,1.051
4270,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,59.737,33.538,24.799,49.173,1,2.5515897566933567,1.638279203899665,1.14665
4271,상상하상상상상상상상상상상상상상상상상상상상상하,강,강강,-3.52,-1.366,-10.196,-19.246,1,0.9308350179689429,1.1542018907928917,1.42741
4272,상상하상하하하하하하하하하하하하하하하하하하상하,약,약약,-10.841,-4.873,-3.435,-6.56,1,0.794928117256845,0.8524954666493895,0.91047
4273,상하하상상상상하하하하하하하하하하상상하하하상상,약,약약,5.643,3.221,7.877,15.298,1,1.1160403519767947,0.9590005719081236,0.83953
4274,상상상상하하하하하하하하하하하하하하하하하하하하,약,약약,-22.591,-10.164,-13.69,-25.672,1,0.5992128829974479,0.8043741823374927,1.08463
4275,상하상상상상상상상상상상상상상상상상상상상상상상,강,강강,11.266,6.134,-0.138,-0.265,1,1.2380090587986774,1.2414386364851873,1.24461
4276,상상상하상상상상상상상상상상상상상상상상상상상상,강,강강,46.672,25.821,20.978,41.416,1,2.1512704965203655,1.4698798751615778,1.07571
4277,상하하하상상상하하하하하하하상상상상하하하하상상,약,약강,7.273,4.058,9.104,17.71,1,1.150739534921135,0.9667024993469233,0.83052
4278,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,4.437,2.606,-6.642,-12.617,1,1.090707835136857,1.251434943533356,1.42841
4279,상상상상하하하하하하상상상상상상상상상상상상상하,강,강강,2.316,1.532,-1.44,-2.759,1,1.0468531371032859,1.0776663573279501,1.10709
4280,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,44.706,24.677,19.779,38.994,1,2.0939787004048416,1.4595294134272436,1.08388
4281,상상상상상상상상상상상상상상상상상하하하하상상상,강,강강,-0.83,-0.041,-4.046,-7.718,1,0.9834725907878769,1.0681560950135598,1.15487
4282,상상상하상상상상상하하하상하하하하하하하상상하하,약,강약,-8.01,-3.535,-7.743,-14.68,1,0.846221964240855,0.9942282010830016,1.16247
4283,상하하상상상상하하하하하하하하하하하하하하하하하,약,약약,-9.622,-4.3,-3.809,-7.269,1,0.8168208697415963,0.8827874964598713,0.9499
4284,상하하하하하하상상하상상상상하하하하하하하하하하,약,약약,-1.621,-0.433,2.74,5.282,1,0.9678465155561221,0.916913752241852,0.87316
4285,상하상상상상상상상상상상상상상상상상상상상상상상,강,강강,28.533,15.476,13.035,25.487,1,1.6520611087366304,1.2930048218699373,1.04912
4286,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,11.176,6.087,-3.491,-6.666,1,1.236002817695377,1.3270413368895064,1.41886
4287,상상상상하하하하상상상상상상상상상상상상상상상상,강,강강,35.178,19.21,24.464,48.491,1,1.8273096682822172,1.1795656126342864,0.82873
4288,상하하하하하하하하하하하상상하하상하하하하상상상,약,약강,6.165,3.489,10.081,19.637,1,1.1270987473714236,0.9301080608118739,0.78747
4289,상하상상상상상상상상상상상상하하하하하하하하하하,강,강약,-14.523,-6.579,-14.674,-27.465,1,0.7306259918983732,1.003536484414213,1.38867
4290,상상하상상상상상상상상상상상상상상상상상상상상상,강,강강,30.59,16.625,2.776,5.353,1,1.7053864132436798,1.6144973435011645,1.5365
4291,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,25.089,13.57,5.707,11.05,1,1.5647212910679793,1.4003267259884813,1.26883
4292,상상하상상상상상상상상상상상상상상상상상상상상상,강,강강,47.316,26.196,29.756,59.318,1,2.1701877616184353,1.2889725485678236,0.855
4293,상하하상상하하상하하하하하하하상상상상상상상상상,강,약강,7.493,4.172,7.593,14.741,1,1.1554817579679129,0.9981406472356068,0.87766
4294,상상하상상상상상상상상상상상하하상하하하하상상상,강,강약,0.375,0.559,-1.222,-2.341,1,1.0075148308685296,1.0325927219104198,1.0564
4295,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,27.249,14.763,7.265,14.097,1,1.6192295339510692,1.4073148347360365,1.24382
4296,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,53.625,29.903,23.053,45.622,1,2.36007114551569,1.558611062188566,1.11294
4297,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,32.632,17.771,8.997,17.499,1,1.7591186749219105,1.480690757159209,1.27416
4298,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,16.348,8.825,6.246,12.103,1,1.3536922603282895,1.1992019687638653,1.07717
4299,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,24.834,13.429,6.72,13.029,1,1.5583464458757128,1.3682783325809247,1.21979
4300,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,92.942,53.908,50.248,102.145,1,3.7226571701776363,1.6490560749390566,0.91102
4301,상상상상하상상상상상상상상상상상상상상상상상상상,강,강강,35.29,19.274,19.676,38.786,1,1.8303511522415659,1.2779781230067448,0.95026
4302,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-20.233,-9.138,-5.442,-10.357,1,0.6362799392042626,0.7116218665425683,0.79181
4303,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,49.838,27.672,16.384,32.17,1,2.2451411263669265,1.6575149793054742,1.28522
4304,상하상하하하하하하상하하하상상상상상상상상상상상,강,약강,19.354,10.441,15.533,30.467,1,1.4245348333209895,1.0672393016060313,0.8369
4305,상상상상상상상상상하하하하하하하하하상상하하상상,강,강약,5.256,3.023,5.473,10.593,1,1.1078728000239524,0.9958826431710031,0.90581
4306,상하상상상상상상상상상상상상상상상상상상상상상상,강,강강,10.205,5.579,-2.327,-4.452,1,1.2145142269306701,1.2730833827674226,1.33034
4307,상상상하상하상상상상상상상상상상상상상상상상상상,강,강강,9.278,5.097,-0.956,-1.833,1,1.1941713812711177,1.2173374136985862,1.23918
4308,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-22.012,-9.914,-15.143,-28.316,1,0.608212817545914,0.8446591756264727,1.18363
4309,상상하하상하하하상하하하하하하하하하하하하하하하,약,약약,-0.6,0.073,3.475,6.706,1,0.9880421493103451,0.9228005359209568,0.86776
4310,상하하상하하하하하하상하하하하하하상상상상상상상,약,약강,6.85,3.841,8.334,16.195,1,1.141691637093816,0.9727903803733673,0.84562
4311,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,14.212,7.687,1.668,3.21,1,1.304428273101472,1.2619832032858567,1.22455
4312,상상상상상하하하하하하하하하하하하하하하하하하하,약,약약,-12.14,-5.479,0.005,0.009,1,0.771935892894619,0.7718628232140214,0.7718
4313,상상상상상상상상상상상상상상상상상상상상상상하상,강,강강,1.478,1.111,-2.146,-4.106,1,1.0297867536289829,1.075448177144526,1.11987
4314,상하하하하상상상하상상상상상상상상상상상상상상상,강,강강,14.363,7.768,4.76,9.204,1,1.3078844323334238,1.1917246022479226,1.0967
4315,상상하상상상하상상상상상하하하하하하하상상하상상,강,강약,10.385,5.673,10.541,20.544,1,1.2184853285267367,0.9971770821042094,0.83854
4316,상상상상상상상상상상상상하하하하하하상상상하하상,강,강약,-2.917,-1.071,-7.509,-14.242,1,0.9425075376182087,1.101757010887825,1.28155
4317,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,47.998,26.595,20.897,41.253,1,2.190348570692266,1.4985782932186122,1.09778
4318,상하상상상상상상상상상상상상상상상상상상상상상상,강,강강,31.109,16.915,17.394,34.196,1,1.7189489779161233,1.2472918900820407,0.95452
4319,상상하상상상상상상상상상상상상상상상상상상상상상,강,강강,15.314,8.273,4.944,9.563,1,1.3297234202285961,1.207374890605665,1.10773
4320,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,6.439,3.629,-7.441,-14.115,1,1.1329213084433687,1.3224114013593522,1.53592
4321,상상상상상상상하상하하하하하하하상하상하하상상상,강,강약,14.906,8.056,13.097,25.61,1,1.3203437458367804,1.032252014878369,0.83683
4322,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-4.17,-1.684,12.316,24.06,1,0.9183325165642329,0.7279712499172307,0.59667
4323,상하하하하하상하하하하상상상상상상상상상상상상상,강,약강,19.532,10.537,12.61,24.642,1,1.428778285263815,1.126713043774303,0.91968
4324,상하하하하하하하하상상상상상상상상상상상상상상상,강,약강,15.796,8.53,6.503,12.605,1,1.340870814785128,1.1821188095684838,1.05747
4325,상상하하상상상상상상상상상상상상상상상상상상상상,강,강강,17.518,9.452,10.071,19.616,1,1.3810564699514045,1.139899753136151,0.96524
4326,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,20.269,10.936,8.676,16.868,1,1.4464573370146065,1.2247203413947103,1.05905
4327,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-8.298,-3.672,3.846,7.426,1,0.8409300221237395,0.7797997941986301,0.72869
4328,상하상하하하상상상상상상상상상상하하하하상상상상,강,강강,1.286,1.014,-0.726,-1.393,1,1.0258816989281487,1.0409464494354537,1.05507
4329,상하하상하하하하하하상하상상상상상상상상상상상상,강,약강,7.844,4.353,4.726,9.137,1,1.1630381922507977,1.0604433068978047,0.97645
4330,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,7.925,4.395,-3.934,-7.506,1,1.1647764312429856,1.2621191024318044,1.36149
4331,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,44.153,24.356,29.282,58.345,1,2.078009240644908,1.2432809671731058,0.82878
4332,상하상상상상상상상상상상상상상상상상상상상상상상,강,강강,33.574,18.302,9.034,17.573,1,1.7841929547669357,1.5007705587784308,1.29071
4333,상하하하하하하하하하하하하상하하하하하하하하하하,약,약약,-11.671,-5.261,-3.933,-7.505,1,0.7802012706601392,0.84539744066163,0.91195
4334,상하하하하하하하하하하하하하하하하하하하상상하하,약,약약,-1.219,-0.234,2.669,5.146,1,0.9757589807352165,0.9256803305430705,0.88259
4335,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,26.414,14.301,3.414,6.589,1,1.5980546799834174,1.4942816159118566,1.4066
4336,상하상상하상상상상하하하하하하하하하하하하하하하,약,강약,-16.211,-7.346,-11.278,-21.246,1,0.7020519016149134,0.8918744450682333,1.13194
4337,상상상상하하상하상상상상상상상상상상상상상상상상,강,강강,20.226,10.912,12.973,25.363,1,1.4454198615351954,1.132524745214153,0.91972
4338,상상하하하하하하하하하하하하하상하하하하하하하하,약,약약,-12.34,-5.572,-7.472,-14.173,1,0.7684284617949533,0.897547035233747,1.04316
4339,상하상하하하하상상하하하하하하하상상상상상상상상,강,약강,26.219,14.193,24.389,48.337,1,1.5931250750096286,1.0296434926623486,0.72402
4340,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-17.775,-8.049,-6.345,-12.057,1,0.6760960766246438,0.7708010997266739,0.8742
4341,상하하하하하상상상상하하상상하상상상상상상상하하,강,약강,-5.436,-2.298,-5.612,-10.678,1,0.8942438925477598,1.0037425899067685,1.12084
4342,상상하하하하하하하하하하하하하하하하하하하하하하,약,약약,-24.121,-10.819,-16.385,-30.561,1,0.575765460132361,0.8235219297605947,1.19411
4343,상하하하하하하하하하하하하하하하하하하하하하상하,약,약약,-15.432,-6.993,-7.575,-14.366,1,0.7151778836863836,0.8372150601951409,0.97526
4344,상하하하하상하하하하하하하하하하하하하하하상상상,약,약약,15.239,8.234,21.623,42.721,1,1.3280101043930588,0.8977860527055277,0.65197
4345,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,20.343,10.976,9.149,17.799,1,1.4482480478314883,1.2156247316123299,1.04366
4346,상하하상하하하하상상상상상상하하하하하하하상하하,약,강약,1.027,0.885,3.131,6.04,1,1.0206509836280249,0.9596159317603161,0.90769
4347,상하상상상상상상상상상상상상상상상상상상상상상상,강,강강,37.95,20.787,21.705,42.887,1,1.9030130750520624,1.284770632977249,0.93208
4348,상상상상상하하하하하하하하상상상상상상상상상상상,강,약강,33.762,18.409,29.301,58.382,1,1.7892265008250836,1.0701986732173894,0.71327
4349,상하하상상상상상상상상상상상상상상상상상상상상상,강,강강,25.628,13.867,16.189,31.78,1,1.5782290078994494,1.16906566866016,0.90881
4350,상상상상상상상상상상상상하하상상상상상상상상상상,강,강강,24.44,13.213,17.897,35.206,1,1.5485398493235045,1.1140735087866256,0.84709
4351,상하하하하하하하하상상상상상상상상상상상상상상상,강,약강,5.775,3.289,-0.385,-0.739,1,1.118828842740351,1.127497797472518,1.13555
4352,상하하하하하하하하하하하하하하하하하하하하상하상,약,약약,5.159,2.974,11.614,22.667,1,1.1058343197087215,0.8876710089820024,0.73491
4353,상상상상하하하하하하하하상상상상하하하하하하상하,약,약약,-5.775,-2.462,-1.79,-3.427,1,0.8878419460139773,0.9204984702427804,0.95197
4354,상상상상상상상상하하하하하하하하하하하하하하하하,약,강약,2.237,1.492,8.708,16.931,1,1.0452334096834657,0.8844801082041461,0.76446
4355,상상상상상상상하상상하하하하하하상하하하상하하하,약,강약,-5.648,-2.401,-5.068,-9.653,1,0.890236635478735,0.9878327403592343,1.09063
4356,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,25.664,13.887,12.979,25.375,1,1.5791397779539658,1.2371676653476684,1.00461
4357,상하상상상상하하상상상상상상상상상상상상상상상상,강,강강,19.568,10.556,12.444,24.313,1,1.429648093972164,1.1307280680766965,0.92512
4358,상상상상상상상상상상상상상상하하하하하하하하하하,강,강약,-10.973,-4.935,-10.65,-20.086,1,0.7925858919368748,0.9927790927767904,1.24107
4359,상상하하하하하하하하하하하하하하하하하하하하하하,약,약약,-12.262,-5.536,-5.998,-11.406,1,0.7697876376802253,0.8711620010644221,0.98076
4360,상상상하상상상상상상상상상상상상상상상상상상상상,강,강강,24.461,13.224,3.204,6.182,1,1.5490475777274852,1.4543473842173278,1.37392
4361,상상상상상상상하하하하하상상상상상상상상상상상상,강,강강,15.236,8.232,11.225,21.897,1,1.327939495746536,1.0734320994437367,0.89371
4362,상하하하하하하하하하하하하하하하하하상하하하하하,약,약약,-2.175,-0.706,4.399,8.501,1,0.956968629384056,0.8780264090626758,0.81289
4363,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-40.064,-17.111,-22.36,-41.167,1,0.35922731717198514,0.5959378150655185,1.03782
4364,상상상상상상상상상상상상상상상상하상하하하상상상,강,강강,4.667,2.723,1.097,2.109,1,1.0955263282341832,1.0718832194591619,1.05073
