,전체 시나리오,메인 시나리오,세부 시나리오,LS 수익률(%),BH 수익률(%),DCA1 수익률(%),DCA1* 수익률(%),P_0,P_T,H_DCA1,H_DCA1*
0,상하상하하상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,14.038,7.62,6.43,12.513,1,1.4830332214732291,1.2301357610398513,1.04122
1,상상상하상상상상상하하상상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,32.918,18.857,16.943,32.971,1,2.3483086357437073,1.4683409557387197,0.99881
2,상상상상상하상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,28.433,16.082,12.576,24.472,1,2.118520062111199,1.4848952817824892,1.09856
3,상상상상상하하하하하하하하하하하하하하상상상상상상상상상상상상상상하하하,강,약강,-3.669,-1.629,-3.878,-7.546,1,0.8939182979374163,1.00653701217119,1.13116
4,상상상상하하하하하하상상상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,29.912,16.991,16.645,32.39,1,2.1925645276546355,1.3815183522488583,0.94491
5,상하하하하하하하하하하하하하하하하하상상상하하상하하하하하하상상하하하상,약,약약,1.902,1.122,5.699,11.089,1,1.058167495952802,0.8960808139942636,0.77187
6,상하상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,37.854,21.977,19.533,38.012,1,2.619756067547107,1.5338886189682834,0.99657
7,상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,34.954,20.136,14.143,27.521,1,2.457871749091941,1.6527755390673027,1.18527
8,상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,53.641,32.351,27.154,52.85,1,3.6268042091452295,1.7641544587451894,1.0156
9,상상상하하하하하하하하하하상하하상상상상상상상상상상상상상상상상상상상상,강,약강,29.802,16.922,23.118,44.991,1,2.1869590481083803,1.1718558821265483,0.71749
10,상하상상상하상상하상상상상상하상상상상상상상하하하하하상하상상상상상상상,강,강강,-1.175,-0.417,-2.577,-5.014,1,0.9651613332946359,1.043790977451902,1.12623
11,상하하하하상하상상상상상상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,3.711,2.048,-0.423,-0.824,1,1.1155212237979295,1.1298042403883704,1.14354
12,상하하상상상상하하하하하하하하하하하하하하하하하하하하하하하하하상상상하,약,약약,-4.733,-2.136,0.223,0.434,1,0.8646336019057083,0.8588788985655942,0.85348
13,상하하하하상상상상상상상상상상상상상상하하하하하하하하하하하하하하하하하,약,강약,-13.097,-5.905,-10.205,-19.854,1,0.6563128504368175,0.9064625807307629,1.27486
14,상하하상상상상상상상상상상상상상상하하하하하하하하하하하하하하하하하하하,약,강약,-5.335,-2.421,-4.622,-8.994,1,0.8483240512810917,0.977728792677394,1.12552
15,상하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-17.35,-7.664,-4.81,-9.36,1,0.5645928244917329,0.6545773974988441,0.75818
16,상상하상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,11.888,6.422,2.941,5.723,1,1.4007145580985776,1.2840613967221852,1.18534
17,상하하하하하하하상상상상상하하상하상하하하하하하하하하하하하상하상상상상,약,약약,2.527,1.44,3.843,7.478,1,1.0777427798921981,0.9624576030757753,0.86806
18,상하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-7.632,-3.487,4.827,9.393,1,0.7880777158040879,0.6841480451109078,0.60201
19,상하하하상하하상상상상상상상상상상상상상상하하하하하하하상상하상하하상상,강,강약,7.049,3.798,6.018,11.711,1,1.2267424967260578,1.0294720102939459,0.87998
20,상상상상상하상상상상하하상상상상상상상상상상상상상상상상상상상상상하상상,강,강강,5.653,3.06,1.235,2.403,1,1.1793508991022768,1.1367097280989908,1.09825
21,상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상하하하,강,강강,-5.152,-2.334,-11.276,-21.937,1,0.8532762858678367,1.2217022509078914,1.79369
22,상하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-17.281,-7.637,-4.702,-9.15,1,0.565989387675738,0.6539736595527799,0.7548
23,상상상상상상상상상상하하하하하하하하하하하하하하하하하하하하하하하하하하,약,강약,-11.244,-5.105,-4.461,-8.681,1,0.6991751973911959,0.8017700236939121,0.91814
24,상상상상상상상상상상상상하하하하하하하하하하하하하상상상상상상상상상상상,강,강강,11.093,5.984,8.604,16.742,1,1.3710575946438617,1.0703382684412326,0.86173
25,상상상상상상상상상상상상상상상상상상상하하하하하상하상하상상상상상상상상,강,강강,11.814,6.381,9.157,17.818,1,1.3979237373108837,1.074814702843842,0.85477
26,상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,12.124,6.553,3.258,6.339,1,1.4095926996511512,1.280341028089515,1.17223
27,상하상상상상상상상상상상상상상상상상상상상상상상상상상상하하상상상상상상,강,강강,4.298,2.352,-0.206,-0.401,1,1.1345496431498248,1.141596272988879,1.14832
28,상하하하하하하하하하하하하하상상상상상상상상상상상상상상상상상상상상상상,강,약강,17.322,9.485,12.179,23.699,1,1.614871904979193,1.1439453068764722,0.85318
29,상하상하하하하하하하하상상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,12.532,6.779,9.594,18.67,1,1.4250327524316548,1.082581058874144,0.85272
30,상하하하하상상하하하하상상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,12.748,6.899,7.949,15.468,1,1.4332643438385135,1.139379705482369,0.93098
31,상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,14.614,7.944,5.843,11.371,1,1.505605622568795,1.269753138973154,1.08992
32,상상상상상상상상상상상상상상상상상상상상상상상상상상상상하상하상하하하하,강,강강,-3.41,-1.505,-6.59,-12.822,1,0.9011488101200593,1.1056315209149412,1.36012
