,전체,강,강,강,강,강,강,보,보,보,보,약,약,약,약,약,약
세부 시나리오,전체,전체,강강,강보,강약,보강,약강,전체,강약,보보,약강,전체,강약,보약,약강,약보,약약
N,452,260,211,10,7,19,13,27,15,4,8,165,16,14,13,10,112
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.130715990167082,1.3058095448980012,1.3394417341634999,1.0631405826326763,0.8922174751315908,1.2651295791036383,1.2287604315203715,1.0488876803263232,0.9813164437420515,0.9922813943407138,1.2038868919146368,0.8682010818983613,0.840469780902706,0.8610124837955887,1.0876502957300187,1.0808540029406393,0.8286026193906387
H_DCA1,1.0409357137946778,1.1357115931699564,1.1568163320842162,1.0256030092372117,1.0204779066691714,1.0633617961057775,1.0456552761040738,1.0015596732870686,1.0046733848031566,0.9966981417134528,0.9981522299812122,0.8980352559530602,0.9475198643051537,0.9436366201585723,0.9820243996154505,0.9590917594212961,0.8700656422494513
H_DCA1*,1.003206093466086,1.0382376691753141,1.0497981633888323,1.0129231807068764,1.1901514709016046,0.9467726303123494,0.9219545716325686,0.9856506856140469,1.034284255837765,1.0064368076681238,0.884069680417538,0.9508775257546068,1.0636336412445428,1.0419837386595099,0.9183829796799673,0.8857722255851685,0.9329658942560091
DCA1 > LS,0.37831858407079644,0.007692307692307693,0.0,0.0,0.14285714285714285,0.0,0.07692307692307693,0.4444444444444444,0.26666666666666666,0.5,0.75,0.9515151515151515,0.8125,1.0,0.6153846153846154,1.0,1.0
DCA1 > BH,0.3915929203539823,0.3076923076923077,0.24170616113744076,0.4,0.0,0.6842105263157895,0.9230769230769231,0.4074074074074074,0.2,0.25,0.875,0.5212121212121212,0.125,0.21428571428571427,0.6923076923076923,0.5,0.5982142857142857
DCA1* > LS,0.504424778761062,0.39615384615384613,0.32701421800947866,0.5,0.14285714285714285,0.7894736842105263,1.0,0.5555555555555556,0.3333333333333333,0.5,1.0,0.6666666666666666,0.3125,0.35714285714285715,0.6923076923076923,0.8,0.7410714285714286
DCA1* > BH,0.5530973451327433,0.6384615384615384,0.6255924170616114,0.5,0.14285714285714285,0.7894736842105263,1.0,0.48148148148148145,0.26666666666666666,0.5,0.875,0.4303030303030303,0.0,0.21428571428571427,0.6923076923076923,0.8,0.45535714285714285
H_DCA1 < P_T,0.6238938053097345,0.8038461538461539,0.8151658767772512,0.6,0.14285714285714285,0.8947368421052632,1.0,0.5555555555555556,0.3333333333333333,0.5,1.0,0.3515151515151515,0.0,0.21428571428571427,0.6923076923076923,0.8,0.3392857142857143
H_DCA1* < P_T,0.6238938053097345,0.8038461538461539,0.8151658767772512,0.6,0.14285714285714285,0.8947368421052632,1.0,0.5555555555555556,0.3333333333333333,0.5,1.0,0.3515151515151515,0.0,0.21428571428571427,0.6923076923076923,0.8,0.3392857142857143
LS 수익률(%),13.071608407079644,30.580949999999984,33.944170616113745,6.3141,-10.778285714285714,26.512947368421052,22.876,4.8887777777777774,-1.8683999999999998,-0.7717499999999999,20.38875,-13.179860606060608,-15.952937500000003,-13.898571428571431,8.764923076923075,8.0855,-17.139723214285713
BH 수익률(%),8.035798672566372,16.790496153846167,18.472113744075834,4.6569,-3.8891428571428577,14.756526315789475,12.938000000000004,3.9443703703703705,0.5658,1.1139999999999999,11.694375,-5.089975757575758,-6.476687500000001,-5.449571428571429,5.882538461538461,5.542600000000001,-7.069857142857141
DCA1 수익률(%),6.917298672566371,13.866588461538464,14.632563981042656,3.858599999999999,-12.80642857142857,18.02784210526315,17.41323076923077,4.817370370370371,-2.2933333333333326,-0.3342499999999999,20.725749999999998,-3.6894727272727277,-11.4341875,-9.185,11.234846153846153,13.029899999999998,-5.121232142857143
DCA1* 수익률(%),14.781873893805308,28.045826923076927,29.499630331753544,8.295799999999998,-21.62057142857143,36.57684210526316,33.91684615384615,10.55996296296296,-3.774733333333332,-0.30825,42.871624999999995,-5.428042424242426,-20.002937499999998,-15.79257142857143,22.577615384615385,26.0171,-8.108607142857142
LS 표준편차(%),34.93605114796255,33.7905873138206,34.67866618431472,15.114047082469709,15.904335957156313,30.60167571931984,10.852869966050454,18.817889643661577,9.017100696533703,7.236379959390377,27.19368886735093,17.51269665682203,10.540312781372602,14.405006035372596,13.448250682161467,14.160521845766999,16.24414772578463
BH 표준편차(%),17.468077949437532,16.895346364717387,17.339386539825362,7.557088584751259,7.95215200283486,15.300847004036594,5.426490117930743,9.409058618603623,4.508752665649337,3.6183271457032924,13.596972235837761,8.756352156279153,5.270130962556813,7.202379219229046,6.723995545995261,7.0801512256291375,8.1221140569548
DCA1 표준편차(%),19.53255578538729,18.7328388452108,18.490700284954865,16.232719531174613,14.301214876799136,21.144638727538684,8.38337628041199,19.368679116132405,9.307178770533348,8.937512717939669,27.806013757304882,15.653593337011534,8.373965832417756,11.230342134660832,17.313312598720838,16.533609510126134,14.745297491939741
DCA1* 표준편차(%),38.91023536459507,38.86144941951308,38.72567347732274,32.51374564635019,23.05531680442455,45.09379581403776,16.985824461621686,40.920095159752385,16.995436309562074,16.675270480065183,61.81852931175132,28.63986796011077,14.20889091364394,18.817052555570996,35.530249106778626,32.75663005136857,26.216504192903468
