,전체,강,강,강,강,강,강,보,보,보,보,약,약,약,약,약,약
세부 시나리오,전체,전체,강강,강보,강약,보강,약강,전체,강약,보보,약강,전체,강약,보약,약강,약보,약약
N,440,282,221,4,8,17,32,8,2,1,5,150,13,9,7,4,117
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.2779880132475534,1.504638712839186,1.571215671334593,1.0257050438762572,0.9158504420365389,1.3712724618600036,1.3227561903840037,1.097968391698071,1.0210417188954293,1.001942790590267,1.1479441810406885,0.8614857444979221,0.8757515265504016,0.9027441528743493,1.1314961147604423,1.1124215894106855,0.8319934640401544
H_DCA1,1.0893940693122144,1.2181997415552586,1.2604523113512056,1.0587924543325302,1.0320541296613466,1.0904696348926723,1.0607118644428126,0.991211285820848,0.9950690330425843,1.0033382250324903,0.9872427990898253,0.8524758206148313,0.9260074851491271,0.9453787248149678,0.9470067941265115,0.8777879510558464,0.8306381871695925
H_DCA1*,1.0162960576176017,1.0825510736630541,1.115283338076009,1.1093656509274772,1.1831439955750378,0.9329850755270482,0.9074507564347956,0.9229430923491182,0.974535920619601,1.0046243134971236,0.8859697168113241,0.8967154522664731,0.9929617151311526,1.001531020387315,0.8187961069836894,0.7383004335093479,0.8880364262979219
DCA1 > LS,0.3568181818181818,0.028368794326241134,0.0,0.0,0.25,0.058823529411764705,0.15625,0.5,0.5,0.0,0.6,0.9666666666666667,0.8461538461538461,0.8888888888888888,0.8571428571428571,1.0,0.9914529914529915
DCA1 > BH,0.4113636363636364,0.2695035460992908,0.19457013574660634,0.25,0.125,0.6470588235294118,0.625,0.75,0.5,0.0,1.0,0.66,0.3076923076923077,0.3333333333333333,1.0,1.0,0.6923076923076923
DCA1* > LS,0.4863636363636364,0.34397163120567376,0.27149321266968324,0.25,0.25,0.7647058823529411,0.65625,0.75,0.5,0.0,1.0,0.74,0.38461538461538464,0.4444444444444444,1.0,1.0,0.7777777777777778
DCA1* > BH,0.6204545454545455,0.648936170212766,0.6199095022624435,0.25,0.25,0.8823529411764706,0.875,0.75,0.5,0.0,1.0,0.56,0.15384615384615385,0.3333333333333333,1.0,1.0,0.5811965811965812
H_DCA1 < P_T,0.6863636363636364,0.7872340425531915,0.7873303167420814,0.25,0.25,0.8823529411764706,0.9375,0.75,0.5,0.0,1.0,0.49333333333333335,0.15384615384615385,0.2222222222222222,1.0,1.0,0.5042735042735043
H_DCA1* < P_T,0.6863636363636364,0.7872340425531915,0.7873303167420814,0.25,0.25,0.8823529411764706,0.9375,0.75,0.5,0.0,1.0,0.49333333333333335,0.15384615384615385,0.2222222222222222,1.0,1.0,0.5042735042735043
LS 수익률(%),10.585127272727267,20.577514184397145,23.08813574660632,1.12025,-4.444500000000001,15.985705882352939,14.365593749999993,4.577625,1.028,0.097,6.893599999999999,-7.880160000000004,-6.638076923076922,-5.193555555555556,6.233428571428571,5.339,-9.521170940170945
BH 수익률(%),6.314570454545452,11.521556737588648,12.920936651583707,0.9695,-1.7806250000000001,8.868764705882354,7.9109375,2.7258750000000003,0.8895000000000001,0.42,3.9215999999999993,-3.2831666666666663,-2.821615384615384,-2.128111111111111,3.5569999999999995,3.09775,-4.050692307692307
DCA1 수익률(%),5.926197727272722,9.083609929078015,9.3999185520362,-1.6702499999999998,-5.845125,10.852352941176472,11.035874999999999,5.137874999999999,1.2915,-0.07,7.718000000000001,0.032306666666667344,-2.8599230769230766,-2.4714444444444448,9.206428571428571,13.13825,-0.4506837606837595
DCA1* 수익률(%),11.945640909090917,18.10647517730497,18.752352941176476,-3.09525,-10.99675,21.47458823529412,21.782593749999997,10.094125,2.5010000000000003,-0.134,15.176999999999998,0.46202000000000143,-5.356769230769231,-4.639777777777778,17.981857142857145,25.96375,-0.4190512820512823
LS 표준편차(%),23.496045472964,22.56671965137249,23.74911914844303,6.511150813540311,5.623347554107403,16.621842748190957,12.362924817996893,7.023428018069239,2.7350890296295662,,8.1505321789439,11.386695447870304,6.670373845864244,6.637614709199215,5.8520967996420685,6.104420092577728,11.604761838684864
BH 표준편차(%),12.726436069426247,12.694412759484276,13.423707973905572,3.3036377424489713,2.755410725800628,9.126432213147504,6.697157413061349,3.653535134926563,1.3696658351583426,,4.252994568536386,5.28327709392858,3.2210501273772385,3.2305559678035474,3.0354624029956296,3.1432871726903984,5.327256000110768
DCA1 표준편차(%),13.571494812091224,13.580670536107284,13.97354837062024,6.7764008330381404,6.409822427616184,12.228070503666842,10.788832875829558,8.463096553145139,3.444317131159673,,9.993852035126398,11.730455542483563,6.200996444947894,5.641254450720847,5.849992218147042,12.879795246172717,12.322967837397952
DCA1* 표준편차(%),26.733380602454293,27.009267492832564,27.81215822739715,12.989936242466062,12.066224971855473,24.55258945625396,21.51813215430843,16.771649458344026,6.638318461779308,,19.84846706927263,22.62490246379511,11.83643464867304,10.769160538057015,11.582094419527804,25.923155111148542,23.73087777771391
