,전체,강,강,강,강,약,약,약,약
세부 시나리오,전체,전체,강강,강약,약강,전체,강약,약강,약약
N,1000,601,464,38,99,399,62,45,292
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.117370651214828,1.2753840755109493,1.320743560438512,0.9068476287013715,1.2042485600803947,0.8793604557211749,0.8658378139911781,1.110138194828377,0.8466666390343104
H_DCA1,1.0393343039458052,1.1300460168960094,1.1572167281504577,1.036448034597141,1.0386269593737145,0.9026983653917389,0.9578877174907016,0.968971251528209,0.8807667910551743
H_DCA1*,1.0039647299999994,1.0460158236272878,1.0593610991379312,1.1806605263157892,0.9317864646464645,0.9406246115288218,1.0577669354838708,0.8786231111111107,0.9253069520547944
H_DCA2,1.0256104617480546,1.1155188227805157,1.14243575483142,1.0220757604472723,1.0252297308314708,0.8901845846039199,0.9444283032341876,0.95621427906143,0.8684912736256164
DCA1 > LS,0.409,0.04326123128119801,0.004310344827586207,0.15789473684210525,0.18181818181818182,0.9598997493734336,0.8870967741935484,0.8222222222222222,0.9965753424657534
DCA1 > BH,0.437,0.34442595673876875,0.27586206896551724,0.02631578947368421,0.7878787878787878,0.5764411027568922,0.11290322580645161,0.8888888888888888,0.6267123287671232
DCA2 > LS,0.448,0.09151414309484193,0.017241379310344827,0.3157894736842105,0.35353535353535354,0.9849624060150376,0.9516129032258065,0.9333333333333333,1.0
DCA2 > BH,0.498,0.40931780366056575,0.34051724137931033,0.05263157894736842,0.8686868686868687,0.631578947368421,0.22580645161290322,0.8888888888888888,0.678082191780822
DCA1* > LS,0.518,0.3860232945091514,0.3103448275862069,0.05263157894736842,0.8686868686868687,0.7167919799498746,0.3225806451612903,0.9111111111111111,0.7705479452054794
DCA1* > BH,0.551,0.6339434276206323,0.625,0.02631578947368421,0.9090909090909091,0.42606516290726815,0.08064516129032258,0.8888888888888888,0.4280821917808219
H_DCA1 < P_T,0.618,0.778702163061564,0.7995689655172413,0.07894736842105263,0.9494949494949495,0.37593984962406013,0.0967741935483871,0.8666666666666667,0.3595890410958904
H_DCA1* < P_T,0.618,0.778702163061564,0.7995689655172413,0.07894736842105263,0.9494949494949495,0.37593984962406013,0.0967741935483871,0.8666666666666667,0.3595890410958904
H_DCA2 < P_T,0.662,0.8236272878535774,0.8469827586206896,0.13157894736842105,0.9797979797979798,0.41854636591478694,0.16129032258064516,0.8888888888888888,0.4006849315068493
LS 수익률(%),11.737077999999999,27.53841430948416,32.07436853448274,-9.315263157894737,20.424848484848475,-12.063932330827068,-13.416241935483871,11.01382222222222,-15.333301369863019
BH 수익률(%),7.368517999999991,15.269194675540756,17.53715948275861,-3.1575526315789477,11.71243434343434,-4.532000000000002,-5.208145161290321,7.006933333333333,-6.166695205479453
DCA1 수익률(%),6.255546000000002,12.322457570715477,13.652851293103454,-12.454894736842103,15.597575757575756,-2.8828345864661635,-9.781774193548392,14.622333333333335,-4.115705479452053
DCA1* 수익률(%),13.164897000000002,24.81025623960065,27.348605603448256,-21.65607894736842,30.748909090909084,-4.37610776942356,-17.127870967741938,28.854800000000004,-6.7897431506849335
DCA2 수익률(%),7.677252999999999,13.783129783693841,15.121959051724136,-11.223763157894737,17.106818181818177,-1.5198195488721804,-8.496919354838708,16.149711111111113,-2.761424657534246
LS 표준편차(%),29.81850502298403,26.46303985000706,26.1093090907535,9.378754759977209,18.932719813001647,15.203051379713338,10.02408169325084,13.424643320619678,13.203531479526873
BH 표준편차(%),14.909251498849017,13.231514738445668,13.054667003767724,4.6894065532303095,9.466320431588104,7.601500797663869,5.012017171371597,6.712202055009423,6.60173109805099
DCA1 표준편차(%),17.283638631556443,17.06332306201267,16.670357856513803,9.20143171524094,13.432155496701547,13.098917914674619,8.348146955314085,13.62724359175732,11.52962704079803
DCA1* 표준편차(%),33.83246014652138,34.28423064827665,33.8684658768069,15.840118001167042,27.910010334268925,24.246138352653087,14.06993910351144,27.492420427852803,20.904461235803993
DCA2 표준편차(%),17.456092933915894,17.243464256440127,16.848848353477827,9.328452884195752,13.573646622027038,13.247929376940418,8.446531338314413,13.790295889142516,11.6675938872595
